"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""AbstractTestCaseBase.runTest""|""relative:///src/testcasesupport/AbstractTestCaseBase.java:11:26:11:32""]]; it is advisable to add an Override annotation.","/src/testcasesupport/AbstractTestCase.java","19","17","19","23"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""HttpServlet.doPost""|""file:///C:/Users/karlt/thesis/datasets/juliet-top-25/lib/servlet-api.jar/javax/servlet/http/HttpServlet.class:0:0:0:0""]]; it is advisable to add an Override annotation.","/src/testcases/CWE129_Improper_Validation_of_Array_Index/s01/ServletMain.java","10","17","10","22"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""HttpServlet.doGet""|""file:///C:/Users/karlt/thesis/datasets/juliet-top-25/lib/servlet-api.jar/javax/servlet/http/HttpServlet.class:0:0:0:0""]]; it is advisable to add an Override annotation.","/src/testcases/CWE129_Improper_Validation_of_Array_Index/s01/ServletMain.java","14","17","14","21"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""HttpServlet.doPost""|""file:///C:/Users/karlt/thesis/datasets/juliet-top-25/lib/servlet-api.jar/javax/servlet/http/HttpServlet.class:0:0:0:0""]]; it is advisable to add an Override annotation.","/src/testcases/CWE129_Improper_Validation_of_Array_Index/s02/ServletMain.java","10","17","10","22"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""HttpServlet.doGet""|""file:///C:/Users/karlt/thesis/datasets/juliet-top-25/lib/servlet-api.jar/javax/servlet/http/HttpServlet.class:0:0:0:0""]]; it is advisable to add an Override annotation.","/src/testcases/CWE129_Improper_Validation_of_Array_Index/s02/ServletMain.java","14","17","14","21"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""AbstractTestCaseServletBase.runTest""|""relative:///src/testcasesupport/AbstractTestCaseServletBase.java:61:26:61:32""]]; it is advisable to add an Override annotation.","/src/testcasesupport/AbstractTestCaseServlet.java","39","17","39","23"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""HttpServlet.doPost""|""file:///C:/Users/karlt/thesis/datasets/juliet-top-25/lib/servlet-api.jar/javax/servlet/http/HttpServlet.class:0:0:0:0""]]; it is advisable to add an Override annotation.","/src/testcases/CWE129_Improper_Validation_of_Array_Index/s03/ServletMain.java","10","17","10","22"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""HttpServlet.doGet""|""file:///C:/Users/karlt/thesis/datasets/juliet-top-25/lib/servlet-api.jar/javax/servlet/http/HttpServlet.class:0:0:0:0""]]; it is advisable to add an Override annotation.","/src/testcases/CWE129_Improper_Validation_of_Array_Index/s03/ServletMain.java","14","17","14","21"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""HttpServlet.doPost""|""file:///C:/Users/karlt/thesis/datasets/juliet-top-25/lib/servlet-api.jar/javax/servlet/http/HttpServlet.class:0:0:0:0""]]; it is advisable to add an Override annotation.","/src/testcases/CWE129_Improper_Validation_of_Array_Index/s04/ServletMain.java","10","17","10","22"
"Missing Override annotation","A method that overrides a method in a superclass but does not have an 'Override' annotation cannot take advantage of compiler checks, and makes code less readable.","recommendation","This method overrides [[""HttpServlet.doGet""|""file:///C:/Users/karlt/thesis/datasets/juliet-top-25/lib/servlet-api.jar/javax/servlet/http/HttpServlet.class:0:0:0:0""]]; it is advisable to add an Override annotation.","/src/testcases/CWE129_Improper_Validation_of_Array_Index/s04/ServletMain.java","14","17","14","21"
